Ano,Região,Concelho,Freguesia,"Eleitores Registrados","Votos Nulos","Votos em Branco","Votos Válidos",Abstenção,PS,PPD/PSD.CDS-PP.PPM,CH,B.E.,IL,ADN,PAN,R.I.R.,L,PCP-PEV,E,MAS,MPT,PCTP/MRPP,VP,PPD/PSD,CDS-PP,JPP,PTP,A,NC,PPD/PSD.CDS-PP,PPM
2022,Açores,"Angra do Heroísmo",Altares,827,2,6,358,469,166,135,19,15,7,2,2,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
2022,Açores,"Angra do Heroísmo","Angra (Nossa Senhora da Conceição)",3702,18,31,1511,2191,686,462,72,81,66,4,32,7,16,29,1,1,3,2,0,0,0,0,0,0,0,0,0
2022,Açores,"Angra do Heroísmo","Angra (Santa Luzia)",2330,4,23,1058,1272,492,335,50,58,40,3,21,1,8,13,2,2,0,5,1,0,0,0,0,0,0,0,0
2022,Açores,"Angra do Heroísmo","Angra (São Pedro)",3309,10,35,1690,1619,637,644,83,85,102,14,17,3,26,20,2,4,3,2,3,0,0,0,0,0,0,0,0
2022,Açores,"Angra do Heroísmo","Angra (Sé)",1078,3,11,561,517,179,260,24,25,38,0,5,1,5,8,0,0,0,1,1,0,0,0,0,0,0,0,0
2022,Açores,"Angra do Heroísmo","Cinco Ribeiras",651,6,16,328,323,122,150,12,5,8,0,3,0,1,4,0,0,0,1,0,0,0,0,0,0,0,0,0
2022,Açores,"Angra do Heroísmo","Doze Ribeiras",456,4,7,238,218,129,67,16,8,0,0,2,0,3,2,0,0,0,0,0,0,0,0,0,0,0,0,0
2022,Açores,"Angra do Heroísmo",Feteira,1232,8,9,639,593,256,244,29,30,30,8,8,2,3,7,0,0,2,2,1,0,0,0,0,0,0,0,0
2022,Açores,"Angra do Heroísmo","Porto Judeu",2352,9,15,955,1397,465,346,51,13,35,2,4,1,3,5,0,0,4,2,0,0,0,0,0,0,0,0,0
2022,Açores,"Angra do Heroísmo","Posto Santo",942,4,12,474,468,231,147,23,20,12,1,4,0,5,8,0,1,2,4,0,0,0,0,0,0,0,0,0
2022,Açores,"Angra do Heroísmo",Raminho,497,1,6,195,302,85,73,5,7,10,1,1,0,1,4,0,0,0,1,0,0,0,0,0,0,0,0,0
2022,Açores,"Angra do Heroísmo",Ribeirinha,2424,21,15,1204,1220,501,529,51,24,34,6,3,2,6,7,0,1,1,3,0,0,0,0,0,0,0,0,0
2022,Açores,"Angra do Heroísmo","Santa Bárbara",1256,2,24,521,735,232,186,29,19,18,1,2,0,2,4,0,0,2,0,0,0,0,0,0,0,0,0,0
2022,Açores,"Angra do Heroísmo","São Bartolomeu de Regatos",1804,11,32,784,1020,319,276,52,29,32,5,7,3,9,6,0,0,1,2,0,0,0,0,0,0,0,0,0
2022,Açores,"Angra do Heroísmo","São Bento",1793,6,18,878,915,431,280,37,41,34,5,3,2,9,6,0,1,1,3,1,0,0,0,0,0,0,0,0
2022,Açores,"Angra do Heroísmo","São Mateus da Calheta",3566,13,31,1366,2200,599,463,65,66,57,4,13,4,7,32,1,1,3,5,2,0,0,0,0,0,0,0,0
2022,Açores,"Angra do Heroísmo",Serreta,349,0,1,148,201,75,57,5,4,4,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0
2022,Açores,"Angra do Heroísmo","Terra Chã",2629,8,22,1044,1585,472,342,60,38,46,4,16,1,8,18,0,1,1,4,3,0,0,0,0,0,0,0,0
2022,Açores,"Angra do Heroísmo","Vila de São Sebastião",2065,3,16,842,1223,377,316,46,19,36,4,5,1,6,7,0,0,1,5,0,0,0,0,0,0,0,0,0
2022,Açores,Calheta,Calheta,1335,2,11,490,845,236,165,18,20,12,7,4,0,4,8,1,0,0,0,2,0,0,0,0,0,0,0,0
