Ano,Região,Concelho,Freguesia,"Eleitores Registrados","Votos Nulos","Votos em Branco","Votos Válidos",Abstenção,PPD/PSD.CDS-PP.PPM,PS,CH,B.E.,IL,ADN,L,PAN,PCP-PEV,VP,E,JPP,R.I.R.,ND,PCTP/MRPP,MPT.A,NC,PTP,PPD/PSD.CDS-PP,PPM
2024,Açores,"Angra do Heroísmo",Altares,848,3,13,461,387,199,158,56,10,9,4,4,3,1,1,0,0,0,0,0,0,0,0,0,0
2024,Açores,"Angra do Heroísmo","Angra (Nossa Senhora da Conceição)",3720,19,31,1720,2000,599,624,196,85,47,13,33,36,29,2,1,0,5,0,0,0,0,0,0,0
2024,Açores,"Angra do Heroísmo","Angra (Santa Luzia)",2285,14,33,1210,1075,438,447,136,28,46,5,22,21,18,0,0,2,0,0,0,0,0,0,0,0
2024,Açores,"Angra do Heroísmo","Angra (São Pedro)",3313,10,35,1887,1426,862,577,162,80,70,8,39,22,20,1,0,1,0,0,0,0,0,0,0,0
2024,Açores,"Angra do Heroísmo","Angra (Sé)",1100,9,7,615,485,302,153,66,16,18,5,15,12,10,1,0,1,0,0,0,0,0,0,0,0
2024,Açores,"Angra do Heroísmo","Cinco Ribeiras",640,2,10,395,245,197,95,48,12,14,3,7,3,3,1,0,0,0,0,0,0,0,0,0,0
2024,Açores,"Angra do Heroísmo","Doze Ribeiras",441,2,10,273,168,108,88,37,9,3,3,7,4,0,1,0,1,0,0,0,0,0,0,0,0
2024,Açores,"Angra do Heroísmo",Feteira,1256,11,12,729,527,337,202,78,24,24,10,14,8,3,2,1,3,0,0,0,0,0,0,0,0
2024,Açores,"Angra do Heroísmo","Porto Judeu",2352,11,33,1089,1263,452,369,130,34,22,8,12,6,10,1,0,0,1,0,0,0,0,0,0,0
2024,Açores,"Angra do Heroísmo","Posto Santo",954,3,19,519,435,223,179,52,15,9,5,8,2,2,1,0,1,0,0,0,0,0,0,0,0
2024,Açores,"Angra do Heroísmo",Raminho,492,0,11,265,227,114,97,23,8,7,0,2,0,3,0,0,0,0,0,0,0,0,0,0,0
2024,Açores,"Angra do Heroísmo",Ribeirinha,2447,15,26,1384,1063,655,444,145,23,29,9,18,13,3,1,0,2,1,0,0,0,0,0,0,0
2024,Açores,"Angra do Heroísmo","Santa Bárbara",1249,6,17,646,603,282,199,92,8,22,5,4,3,8,0,0,0,0,0,0,0,0,0,0,0
2024,Açores,"Angra do Heroísmo","São Bartolomeu de Regatos",1800,13,27,954,846,400,273,124,30,34,7,22,10,9,2,1,2,0,0,0,0,0,0,0,0
2024,Açores,"Angra do Heroísmo","São Bento",1798,8,25,1002,796,386,389,108,28,20,12,11,8,6,0,0,1,0,0,0,0,0,0,0,0
2024,Açores,"Angra do Heroísmo","São Mateus da Calheta",3628,20,32,1740,1888,687,570,217,73,45,13,23,24,30,2,0,2,2,0,0,0,0,0,0,0
2024,Açores,"Angra do Heroísmo",Serreta,344,0,6,165,179,65,58,24,4,1,3,1,1,2,0,0,0,0,0,0,0,0,0,0,0
2024,Açores,"Angra do Heroísmo","Terra Chã",2652,10,49,1292,1360,454,459,176,44,45,6,23,13,9,2,0,1,1,0,0,0,0,0,0,0
2024,Açores,"Angra do Heroísmo","Vila de São Sebastião",2127,5,18,983,1144,445,300,124,21,37,10,6,7,8,0,1,1,0,0,0,0,0,0,0,0
2024,Açores,Calheta,Calheta,1343,8,24,627,716,280,192,59,15,12,8,7,7,11,1,0,2,1,0,0,0,0,0,0,0
2024,Açores,Calheta,"Norte Pequeno",196,0,2,110,86,66,21,14,2,0,1,1,2,0,0,0,0,1,0,0,0,0,0,0,0
2024,Açores,Calheta,"Ribeira Seca",995,4,11,448,547,261,92,40,7,10,7,6,2,4,2,0,1,1,0,0,0,0,0,0,0
2024,Açores,Calheta,"Santo Antão",711,2,11,285,426,167,60,18,4,4,8,3,0,5,1,0,2,0,0,0,0,0,0,0,0
2024,Açores,Calheta,"Topo (Nossa Senhora do Rosário)",478,2,5,230,248,109,67,27,3,4,4,2,3,2,0,1,0,1,0,0,0,0,0,0,0
2024,Açores,Corvo,Corvo,355,2,5,266,89,111,108,21,9,2,2,1,1,4,0,0,0,0,0,0,0,0,0,0,0
2024,Açores,Horta,Capelo,488,3,10,262,226,92,97,27,8,4,1,4,5,11,0,0,0,0,0,0,0,0,0,0,0
2024,Açores,Horta,"Castelo Branco",1141,6,20,562,579,248,169,75,16,7,2,7,4,4,0,0,2,2,0,0,0,0,0,0,0
2024,Açores,Horta,Cedros,735,5,13,429,306,257,80,33,12,3,6,2,5,12,0,1,0,0,0,0,0,0,0,0,0
2024,Açores,Horta,Feteira,1592,9,31,762,830,291,250,89,22,23,5,16,9,13,0,1,0,3,0,0,0,0,0,0,0
2024,Açores,Horta,Flamengos,1407,3,28,739,668,305,217,103,26,17,7,4,10,18,0,0,1,0,0,0,0,0,0,0,0
2024,Açores,Horta,"Horta (Angústias)",2083,10,25,1108,975,429,354,93,61,32,4,33,22,40,0,1,2,2,0,0,0,0,0,0,0
2024,Açores,Horta,"Horta (Conceição)",1034,4,19,565,469,234,176,51,22,11,6,19,13,8,0,0,2,0,0,0,0,0,0,0,0
2024,Açores,Horta,"Horta (Matriz)",2222,5,31,1224,998,497,366,94,67,38,11,52,14,46,2,0,0,1,0,0,0,0,0,0,0
2024,Açores,Horta,"Pedro Miguel",618,1,11,330,288,164,80,38,10,9,2,4,1,8,0,0,2,0,0,0,0,0,0,0,0
2024,Açores,Horta,"Praia do Almoxarife",744,2,14,453,291,178,145,56,23,7,2,13,3,10,0,0,0,0,0,0,0,0,0,0,0
2024,Açores,Horta,"Praia do Norte",218,0,9,149,69,84,29,13,5,1,2,1,0,4,0,0,1,0,0,0,0,0,0,0,0
2024,Açores,Horta,Ribeirinha,377,2,5,196,181,95,40,33,8,5,1,1,1,3,1,0,1,0,0,0,0,0,0,0,0
2024,Açores,Horta,Salão,352,0,9,195,157,124,23,17,10,3,2,1,2,4,0,0,0,0,0,0,0,0,0,0,0
2024,Açores,Lagoa,"Água de Pau",2768,16,7,911,1857,291,312,224,11,12,5,13,16,2,0,0,1,1,0,0,0,0,0,0,0
2024,Açores,Lagoa,Cabouco,1750,6,10,833,917,272,267,183,25,13,7,13,22,2,3,1,7,2,0,0,0,0,0,0,0
2024,Açores,Lagoa,"Lagoa (Nossa Senhora do Rosário)",4876,24,44,2325,2551,813,704,399,89,87,14,50,51,17,4,0,27,2,0,0,0,0,0,0,0
2024,Açores,Lagoa,"Lagoa (Santa Cruz)",3229,12,20,1310,1919,385,427,309,35,37,8,18,32,6,1,2,16,2,0,0,0,0,0,0,0
2024,Açores,Lagoa,"Ribeira Chã",375,1,5,164,211,48,59,41,2,3,1,0,3,1,0,0,0,0,0,0,0,0,0,0,0
2024,Açores,"Lajes das Flores","Fajã Grande",193,0,3,111,82,42,45,17,0,1,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0
2024,Açores,"Lajes das Flores",Fajãzinha,69,0,4,48,21,11,22,10,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
2024,Açores,"Lajes das Flores",Fazenda,222,0,4,136,86,47,43,20,8,2,2,4,1,5,0,0,0,0,0,0,0,0,0,0,0
2024,Açores,"Lajes das Flores",Lajedo,81,0,1,45,36,20,15,2,2,0,0,0,1,4,0,0,0,0,0,0,0,0,0,0,0
2024,Açores,"Lajes das Flores","Lajes das Flores",493,2,7,271,222,93,97,31,14,8,6,3,5,3,0,0,0,2,0,0,0,0,0,0,0
2024,Açores,"Lajes das Flores",Lomba,161,0,5,108,53,38,28,16,7,2,0,5,4,3,0,0,0,0,0,0,0,0,0,0,0
2024,Açores,"Lajes das Flores",Mosteiro,26,2,0,11,15,2,4,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2024,Açores,"Lajes do Pico","Calheta de Nesquim",343,2,11,158,185,62,57,14,6,3,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0
2024,Açores,"Lajes do Pico","Lajes do Pico",1618,3,52,857,761,301,324,109,21,13,4,14,3,11,0,1,0,1,0,0,0,0,0,0,0
2024,Açores,"Lajes do Pico",Piedade,801,0,11,380,421,201,124,24,4,5,2,3,2,4,0,0,0,0,0,0,0,0,0,0,0
2024,Açores,"Lajes do Pico",Ribeiras,861,8,15,446,415,195,143,40,11,4,6,7,2,13,0,0,0,2,0,0,0,0,0,0,0
2024,Açores,"Lajes do Pico",Ribeirinha,408,2,13,221,187,93,97,4,2,0,4,1,1,3,0,0,0,1,0,0,0,0,0,0,0
2024,Açores,"Lajes do Pico","São João",452,2,5,239,213,108,75,26,9,3,5,0,3,3,0,0,0,0,0,0,0,0,0,0,0
2024,Açores,Madalena,Bandeiras,667,1,8,306,361,129,86,53,13,5,2,1,5,2,0,1,0,0,0,0,0,0,0,0,0
2024,Açores,Madalena,Candelária,792,2,20,418,374,158,144,43,13,13,5,5,6,4,1,2,1,1,0,0,0,0,0,0,0
2024,Açores,Madalena,"Criação Velha",785,4,20,378,407,187,89,43,9,6,4,6,2,7,0,0,1,0,0,0,0,0,0,0,0
2024,Açores,Madalena,Madalena,2637,12,51,1232,1405,568,327,142,35,36,6,15,17,18,1,0,3,1,0,0,0,0,0,0,0
2024,Açores,Madalena,"São Caetano",499,1,4,230,269,133,60,20,5,1,1,0,2,2,0,0,0,1,0,0,0,0,0,0,0
2024,Açores,Madalena,"São Mateus",652,10,13,355,297,152,129,28,9,1,4,1,5,1,0,0,2,0,0,0,0,0,0,0,0
2024,Açores,Nordeste,Achada,458,3,10,226,232,92,82,21,5,1,1,0,5,5,0,0,0,1,0,0,0,0,0,0,0
2024,Açores,Nordeste,Achadinha,502,6,5,234,268,81,85,48,3,0,2,0,1,2,0,0,0,1,0,0,0,0,0,0,0
2024,Açores,Nordeste,Algarvia,250,4,6,128,122,56,34,18,0,1,2,4,2,0,0,1,0,0,0,0,0,0,0,0,0
2024,Açores,Nordeste,"Lomba da Fazenda",876,8,8,401,475,186,114,47,11,7,3,5,5,4,0,1,0,2,0,0,0,0,0,0,0
